submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
2020-01-04,OR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
2021-18-03,NE,206980,,,298,0,2130,,,1,0,03/20/2021 12:00:00 AM,Not agree,Not agree
2021-04-04,RI,132178,,,335,0,2621,,,0,0,04/04/2021 12:00:00 AM,Not agree,N/A
2020-01-09,SC,123871,120966,2905,947,46,2726,,,12,0,09/01/2020 12:00:00 AM,Agree,Not agree
2021-11-04,NJ,953490,837052,116438,3387,517,24870,22297,2573,11,0,04/12/2021 01:39:29 PM,Agree,Agree
2022-28-03,VT,107785,,,467,35,585,,,0,0,03/29/2022 01:30:11 PM,Not agree,Not agree
2022-20-03,MT,272105,211991,60114,0,0,3234,3234,0,0,0,03/21/2022 01:48:00 PM,Agree,Agree
2021-12-12,CA,5133238,4867604,265634,0,0,74509,,,0,0,12/13/2021 03:27:15 PM,Agree,Not agree
2020-06-12,LA,170469,,,532,0,5592,5402,190,6,0,10/07/2020 01:45:01 PM,Not agree,Agree
2022-07-05,IL,3169315,3169315,0,0,0,37956,33660,4296,0,0,05/09/2022 01:14:40 PM,Agree,Agree
2020-01-11,FSM,0,0,0,0,0,0,0,0,0,0,11/01/2020 12:00:00 AM,Agree,Agree
2022-06-04,LA,1169124,,,190,89,17162,14628,2534,8,4,04/07/2022 02:35:23 PM,Not agree,Agree
2022-15-03,FSM,13,13,0,0,0,0,0,0,0,0,03/15/2022 12:00:00 AM,Agree,Agree
2021-14-04,MO,576076,,,583,247,8883,,,8,0,04/16/2021 12:00:00 AM,Not agree,Not agree
2021-23-08,CT,367410,334476,32934,518,53,8335,6863,1472,-2,0,08/24/2021 02:24:26 PM,Agree,Agree
2021-23-01,CT,904410,334476,32934,518,53,8335,6863,1472,-2,0,08/24/2021 02:24:26 PM,Agree,Agree
2021-02-01,CT,904410,334476,32934,518,53,8335,6863,1472,-2,0,08/24/2021 02:24:26 PM,Agree,Agree
2020-12-02,NJ,200405,,,476,27,16027,14238,1789,4,0,09/12/2020 12:00:00 AM,Not agree,Agree
2021-06-07,WI,678048,613152,64896,40,5,8144,7323,821,0,0,07/07/2021 02:48:49 PM,Agree,Agree
2020-24-02,MO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
2020-24-12,MI,570566,524450,46116,1932,218,13166,12436,730,99,14,12/25/2020 12:00:00 AM,Agree,Agree
2021-30-03,ME,50780,39037,11743,340,102,743,720,23,5,0,04/01/2021 12:00:00 AM,Agree,Agree
